id,parent
05t5rc419,019zcmj26
009qtkb56,019zcmj26
027n02r78,019zcmj26
03z90hq89,019zcmj26
03c94bc04,019zcmj26
006byrq44,019zcmj26
0422tyr14,019zcmj26
04skssb35,019zcmj26
04kakt857,019zcmj26
01e69j385,05wtp9w08
004914a33,05wtp9w08
00ewbej21,05wtp9w08
05ea3hs66,05wtp9w08
02xv1yp72,05wtp9w08
03ta4hv58,05wtp9w08
040er0w10,05wtp9w08
01f02ww36,05wtp9w08
05c3bnw72,05wtp9w08
01s15bz77,05wtp9w08
047swfp57,05wtp9w08
00et21g06,05wtp9w08
01q34dp24,05wtp9w08
034sqmv32,05wtp9w08
03sgkc956,05wtp9w08
04nsjct52,05wtp9w08
00rejsz57,05wtp9w08
04gcp7g78,05wtp9w08
05fhdzx69,05wtp9w08
0160dkh89,05wtp9w08
05y57mm42,05wtp9w08
00pbt4z69,05wtp9w08
00g7nbz02,05wtp9w08
00f6n1x59,05wtp9w08
05ge22856,05wtp9w08
03yhtwa63,05wtp9w08
00hcsjz98,05wtp9w08
01cjh3728,05wtp9w08
05gga8159,05wtp9w08
015480z05,05wtp9w08
056wf8856,05rbd6k73
053nrfb18,05rbd6k73
02j983531,05rbd6k73
05wgt8358,05rbd6k73
00g4bcb66,05rbd6k73
006knem90,00g4bcb66
02sp4ja91,01fz81h65
