title,notation,label
1210.02-Cohomology,1210.02,Cohomology
1210.03-Differential manifolds,1210.03,Differential manifolds
1210.04-Fibre bundles and spaces,1210.04,Fibre bundles and spaces
1210.05-General topology,1210.05,General topology
1210.06-Homology,1210.06,Homology
1210.07-Homotopy,1210.07,Homotopy
1210.08-Lie groups,1210.08,Lie groups
1210.09-Piecewise linear topology,1210.09,Piecewise linear topology
1210.10-Point-set topology,1210.10,Point-set topology
1210.11-Three dimensional topology,1210.11,Three dimensional topology
1210.12-Topological groups,1210.12,Topological groups
1210.13-Topological dynamics,1210.13,Topological dynamics
1210.14-Topological embedding,1210.14,Topological embedding
1210.15-Topological manifolds,1210.15,Topological manifolds
1210.16-Transformation groups,1210.16,Transformation groups
1210.99-Other (specify),1210.99,Other (specify)
2101.01-Binary stars,2101.01,Binary stars
2101.02-Clusters,2101.02,Clusters
2101.03-Cosmic Rays,2101.03,Cosmic Rays
2101.04-Galaxies,2101.04,Galaxies
2101.05-Gravitation,2101.05,Gravitation
2101.06-Nebulae,2101.06,Nebulae
2101.07-Novae,2101.07,Novae
2101.08-Pulsars,2101.08,Pulsars
2101.09-Quasars,2101.09,Quasars
2101.10-Stars,2101.10,Stars
2101.11-Stellar evolution and HR diagram,2101.11,Stellar evolution and HR diagram
2101.12-Stellar composition,2101.12,Stellar composition
2101.13-Super-novae,2101.13,Super-novae
2101.14-Variable stars,2101.14,Variable stars
2101.15-X-ray sources,2101.15,X-ray sources
2101.99-Other (specify),2101.99,Other (specify)
2102.01-Interplanetary fields,2102.01,Interplanetary fields
2102.02-Interplanetary matter,2102.02,Interplanetary matter
2102.03-Interplanetary particles,2102.03,Interplanetary particles
2102.99-Other (specify),2102.99,Other (specify)
2103.01-Position astronomy,2103.01,Position astronomy
2103.02-Telescopes,2103.02,Telescopes
2103.03-Spectroscopy,2103.03,Spectroscopy
2103.99-Other (specify),2103.99,Other (specify)
2104.01-Comets,2104.01,Comets
2104.02-Meteorites,2104.02,Meteorites
2104.03-Planetary atmospheres,2104.03,Planetary atmospheres
2104.04-Planetary geology,2104.04,Planetary geology
2104.05-Planetary physics,2104.05,Planetary physics
2104.06-Planetary magnetic fields,2104.06,Planetary magnetic fields
2104.07-Planets,2104.07,Planets
2104.08-Satellites,2104.08,Satellites
2104.09-Tektites,2104.09,Tektites
2104.10-The Moon,2104.10,The Moon
2104.99-Other (specify),2104.99,Other (specify)
2105.01-Antennae,2105.01,Antennae
2105.02-Radio-telescopes,2105.02,Radio-telescopes
2105.99-Other (specify),2105.99,Other (specify)
2106.01-Solar energy,2106.01,Solar energy
2106.02-Solar physics,2106.02,Solar physics
2106.03-Solar wind,2106.03,Solar wind
2106.04-The Sun,2106.04,The Sun
2106.99-Other (specify),2106.99,Other (specify)
2201.01-Acoustic properties of solids,2201.01,Acoustic properties of solids
2201.02-Architectural Acoustics,2201.02,Architectural Acoustics
2201.03-Hearing (physics of),2201.03,Hearing (physics of)
2201.04-Music (physics of),2201.04,Music (physics of)
2201.05-Noise,2201.05,Noise
2201.06-Shock waves,2201.06,Shock waves
2201.07-Sonar,2201.07,Sonar
2201.08-Speech (physics of),2201.08,Speech (physics of)
2201.09-Ultrasonics,2201.09,Ultrasonics
2201.10-Underwater sounds,2201.10,Underwater sounds
2201.11-Vibrations,2201.11,Vibrations
2201.99-Other (specify),2201.99,Other (specify)
2202.01-Conductivity,2202.01,Conductivity
2202.02-Electrical quantities and their measurement,2202.02,Electrical quantities and their measurement
2202.03-Electricity,2202.03,Electricity
2202.04-Electromagnetic waves,2202.04,Electromagnetic waves
2202.05-Gamma rays,2202.05,Gamma rays
"2202.06-Infrared, visible and ultraviolet radiation",2202.06,"Infrared, visible and ultraviolet radiation"
2202.07-Interaction of electromagnetic waves with matter,2202.07,Interaction of electromagnetic waves with matter
2202.08-Magnetism,2202.08,Magnetism
2202.09-Propagation of electromagnetic waves,2202.09,Propagation of electromagnetic waves
2202.10-Radiowaves and microwaves,2202.10,Radiowaves and microwaves
2202.11-Superconductivity,2202.11,Superconductivity
2202.12-X-rays,2202.12,X-rays
2202.99-Other (specify),2202.99,Other (specify)
2203.01-Circuits,2203.01,Circuits
2203.02-Circuit elements,2203.02,Circuit elements
2203.03-Electron tubes,2203.03,Electron tubes
2203.04-Electron Microscopy,2203.04,Electron Microscopy
2203.05-Electron states,2203.05,Electron states
2203.06-Electron transport,2203.06,Electron transport
2203.07-Integrated circuits,2203.07,Integrated circuits
2203.08-Photoelectricity,2203.08,Photoelectricity
2203.09-Piezo-electricity,2203.09,Piezo-electricity
2203.99-Other (specify),2203.99,Other (specify)
2204.01-Colloids,2204.01,Colloids
2204.02-Dispersions,2204.02,Dispersions
2204.03-Fluid flow,2204.03,Fluid flow
2204.04-Fluid mechanics,2204.04,Fluid mechanics
2204.05-Gases,2204.05,Gases
2204.06-High pressure phenomena,2204.06,High pressure phenomena
2204.07-Ionisation,2204.07,Ionisation
2204.08-Liquids,2204.08,Liquids
2204.09-Magnetofluid dynamics (Magnetofluidodinámica),2204.09,Magnetofluid dynamics (Magnetofluidodinámica)
2204.10-Plasmas (physics of),2204.10,Plasmas (physics of)
2204.11-Quantum fluids,2204.11,Quantum fluids
2204.99-Other (specify),2204.99,Other (specify)
2205.01-Analytical mechanics,2205.01,Analytical mechanics
2205.02-Continuous mechanics,2205.02,Continuous mechanics
2205.03-Elasticity,2205.03,Elasticity
2205.04-Fluid mechanics,2205.04,Fluid mechanics
2205.05-Friction,2205.05,Friction
2205.06-Many body theory,2205.06,Many body theory
2205.07-Measurement of mechanical properties,2205.07,Measurement of mechanical properties
2205.08-Plasticity,2205.08,Plasticity
2205.09-Solid mechanics,2205.09,Solid mechanics
2205.10-Statistical mechanics,2205.10,Statistical mechanics
2205.99-Other (specify),2205.99,Other (specify)
2206.01-Free radicals,2206.01,Free radicals
2206.02-Inorganic molecules,2206.02,Inorganic molecules
2206.03-Macromolecules,2206.03,Macromolecules
2206.04-Mesic and muonic molecules,2206.04,Mesic and muonic molecules
2206.05-Molecular beams,2206.05,Molecular beams
2206.06-Molecular ions,2206.06,Molecular ions
2206.07-Molecular spectroscopy,2206.07,Molecular spectroscopy
2206.08-Molecular structure,2206.08,Molecular structure
2206.09-Organic molecules,2206.09,Organic molecules
2206.10-Polymers (physics of),2206.10,Polymers (physics of)
2206.99-Other (specify),2206.99,Other (specify)
2207.01-Atomic beams,2207.01,Atomic beams
2207.02-Atomic ions,2207.02,Atomic ions
2207.03-Atomic physics,2207.03,Atomic physics
2207.04-Atoms with Z greater than 2,2207.04,Atoms with Z greater than 2
2207.05-Collision processes,2207.05,Collision processes
2207.06-Electron beams,2207.06,Electron beams
2207.07-Electron paramagnetic resonance,2207.07,Electron paramagnetic resonance
2207.08-Electron spin resonance,2207.08,Electron spin resonance
2207.09-Energy Conversion,2207.09,Energy Conversion
2207.10-Fission (nuclear),2207.10,Fission (nuclear)
2207.11-Helium atom,2207.11,Helium atom
2207.12-Hydrogen atom,2207.12,Hydrogen atom
2207.13-Isotopes,2207.13,Isotopes
2207.14-Nuclear decay,2207.14,Nuclear decay
2207.15-Nuclear Energy,2207.15,Nuclear Energy
